,CustomerID,Recency,Frequency,Monetary,cluster_label,Recency_log,Frequency_log,Monetary_log
0,1111054000102B1,640,5,63000,0,6.46302945692067,1.791759469228055,11.050905878263567
1,1111054000102B3,640,75,915600,2,6.46302945692067,4.330733340286331,13.727335959239943
2,1111054000103B1,640,63,555400,2,6.46302945692067,4.1588830833596715,13.227445654357357
3,1111054000103B5,640,2,82300,0,6.46302945692067,1.0986122886681098,11.31813853725963
4,1111054000104B1,640,12,339500,2,6.46302945692067,2.5649493574615367,12.73523217148465
5,1111054000104B3,640,169,5283000,1,6.46302945692067,5.135798437050262,15.480004865432825
6,1111054000105B3,640,135,3287000,1,6.46302945692067,4.912654885736052,15.00548615687509
7,1111054000106B3,640,14,432950,2,6.46302945692067,2.70805020110221,12.978379836608815
8,1111054000106B5,640,2,66770,3,6.46302945692067,1.0986122886681098,11.109024133525745
9,1111054000106B8,640,2,165900,0,6.46302945692067,1.0986122886681098,12.019146503887916
10,1111054000107B1,640,1,35000,3,6.46302945692067,0.6931471805599453,10.463131911491967
11,1111054000107B3,640,5,141000,0,6.46302945692067,1.791759469228055,11.856522261533737
12,1111054000107B4,640,1,140000,0,6.46302945692067,0.6931471805599453,11.849404844423074
13,1111054000201B3,640,1,20000,3,6.46302945692067,0.6931471805599453,9.90353755128617
14,1111054000202B1,640,1,224200,0,6.46302945692067,0.6931471805599453,12.32029824991355
15,1111054000202B5,640,7,31290,3,6.46302945692067,2.0794415416798357,10.35108579524461
16,1111054000204B3,640,30,1659900,2,6.46302945692067,3.4339872044851463,14.32226852000006
17,1111054000204B5,640,11,211300,0,6.46302945692067,2.4849066497880004,12.261038936200617
18,1111054000204B6,640,39,3347300,2,6.46302945692067,3.6888794541139363,15.023664907431634
19,1111054000205B1,640,8,90200,0,6.46302945692067,2.1972245773362196,11.409795792463761
20,1111054000205B4,640,201,1060850,1,6.46302945692067,5.308267697401205,13.874581974181154
21,1111054000205B5,640,10,624400,2,6.46302945692067,2.3978952727983707,13.344548069159607
22,1111054000205B6,640,59,4050020,1,6.46302945692067,4.0943445622221,15.214232624254464
23,1111054000205B8,640,1,400000,0,6.46302945692067,0.6931471805599453,12.899222326086994
24,1111054000206B1,640,37,1853700,2,6.46302945692067,3.6375861597263857,14.432694739178652
25,1111054000206B3,640,68,1309690,2,6.46302945692067,4.23410650459726,14.085301789491181
26,1111054000206B4,640,11,2381000,2,6.46302945692067,2.4849066497880004,14.683031545460512
27,1111054000206B6,640,1,3000,3,6.46302945692067,0.6931471805599453,8.006700845440367
28,1111054000207B1,640,1,16000,3,6.46302945692067,0.6931471805599453,9.680406499268875
29,1111054000207B3,640,30,515400,2,6.46302945692067,3.4339872044851463,13.15270051743911
30,1117057000102B3,640,11,118500,0,6.46302945692067,2.4849066497880004,11.682676678340282
31,1117057000102B8,640,3,42600,3,6.46302945692067,1.3862943611198906,10.659633006160352
32,1117057000103B3,640,37,559000,2,6.46302945692067,3.6375861597263857,13.233906541044401
33,1117057000104B1,640,16,315300,2,6.46302945692067,2.833213344056216,12.661283017110742
34,1117057000104B5,640,15,57000,0,6.46302945692067,2.772588722239781,10.950824090522445
35,1117057000105B1,640,12,208630,0,6.46302945692067,2.5649493574615367,12.248322420286952
36,1117057000105B5,640,11,160200,0,6.46302945692067,2.4849066497880004,11.984184555794167
37,1117057000105B6,640,1,300000,0,6.46302945692067,0.6931471805599453,12.611541086966115
38,1117057000107B8,640,1,10000,3,6.46302945692067,0.6931471805599453,9.210440366976517
39,1117057000202B1,640,2,610000,0,6.46302945692067,1.0986122886681098,13.321215875492413
40,1117057000202B3,640,1,5000,3,6.46302945692067,0.6931471805599453,8.517393171418904
41,1117057000203B3,640,2,17000,3,6.46302945692067,1.0986122886681098,9.741027444837728
42,1117057000204B7,640,23,1045555,2,6.46302945692067,3.1780538303479458,13.860059359304955
43,1117057000205B1,640,2,490000,0,6.46302945692067,1.0986122886681098,13.102162710901053
44,1117057000205B3,640,83,1660200,1,6.46302945692067,4.430816798843313,14.322449237339958
45,1117057000206B3,640,1,21300,3,6.46302945692067,0.6931471805599453,9.966509298952284
46,1117057000206B5,640,3,147200,0,6.46302945692067,1.3862943611198906,11.899554278732099
47,1117057000207B3,640,7,166500,0,6.46302945692067,2.0794415416798357,12.022756594390605
48,1117057000207B8,640,1,184080,0,6.46302945692067,0.6931471805599453,12.123131157115179
49,1120062000102B3,640,2,47000,3,6.46302945692067,1.0986122886681098,10.757924157061597
50,1120062000103B3,640,12,141300,0,6.46302945692067,2.5649493574615367,11.85864764578841
51,1120062000103B8,640,29,317500,2,6.46302945692067,3.4011973816621555,12.668236246916223
52,1120062000104B1,640,25,541700,2,6.46302945692067,3.258096538021482,13.20246946768453
53,1120062000104B5,640,9,426600,0,6.46302945692067,2.302585092994046,12.963604429132907
54,1120062000105B1,640,4,86800,0,6.46302945692067,1.6094379124341003,11.371373421319406
55,1120062000105B5,640,74,1071300,2,6.46302945692067,4.31748811353631,13.88438435569556
56,1120062000106B1,640,1,6000,3,6.46302945692067,0.6931471805599453,8.699681400989514
57,1120062000202B3,640,7,42200,3,6.46302945692067,2.0794415416798357,10.650199196425806
58,1120062000202B6,640,9,90830,0,6.46302945692067,2.302585092994046,11.416755916013987
59,1120062000203B5,640,9,332500,0,6.46302945692067,2.302585092994046,12.71439814659232
60,1120062000204B1,640,5,1132600,0,6.46302945692067,1.791759469228055,13.940027315585697
61,1120062000204B3,640,155,1564400,1,6.46302945692067,5.049856007249537,14.263013561085996
62,1120062000204B5,640,60,914680,2,6.46302945692067,4.110873864173311,13.726330649590958
63,1120062000204B7,640,25,850245,2,6.46302945692067,3.258096538021482,13.6532809983597
64,1120062000205B1,640,3,1605000,0,6.46302945692067,1.3862943611198906,14.288634937599019
65,1120062000205B3,640,80,2378900,1,6.46302945692067,4.394449154672439,14.682149174295622
66,1120062000205B5,640,62,2961530,1,6.46302945692067,4.143134726391533,14.901216922312782
67,1120062000206B5,640,2,75800,0,6.46302945692067,1.0986122886681098,11.235866764155578
68,1120062000206B8,640,4,58000,0,6.46302945692067,1.6094379124341003,10.968215530759236
69,1120062000207B3,640,13,335000,2,6.46302945692067,2.6390573296152584,12.721888795877375
70,1120064500102B1,640,1,40000,3,6.46302945692067,0.6931471805599453,10.596659732783579
71,1120064500102B5,640,6,78610,0,6.46302945692067,1.9459101490553132,11.272266917734749
72,1120064500103B1,640,1,295000,0,6.46302945692067,0.6931471805599453,12.59473402514672
73,1120064500104B3,640,36,593500,2,6.46302945692067,3.6109179126442243,13.293794177950407
74,1120064500104B4,640,352,2868540,1,6.46302945692067,5.8664680569332965,14.869314096106507
75,1120064500104B5,640,16,248600,2,6.46302945692067,2.833213344056216,12.423604480576804
76,1120064500104B6,640,1,190000,0,6.46302945692067,0.6931471805599453,12.154784614286667
77,1120064500105B4,640,235,1949610,1,6.46302945692067,5.4638318050256105,14.48314042346023
78,1120064500105B5,640,10,2344000,2,6.46302945692067,2.3978952727983707,14.667369856300109
79,1120064500106B3,640,1,20000,3,6.46302945692067,0.6931471805599453,9.90353755128617
80,1120064500106B5,640,1,9100,3,6.46302945692067,0.6931471805599453,9.116139576577355
81,1120064500107B3,640,16,436290,2,6.46302945692067,2.833213344056216,12.98606473089069
82,1120064500202B1,640,1,370000,0,6.46302945692067,0.6931471805599453,12.821260987319457
83,1120064500202B3,640,35,1663790,2,6.46302945692067,3.58351893845611,14.32460929151329
84,1120064500203B3,640,241,2420240,1,6.46302945692067,5.488937726156687,14.699377679951295
85,1120064500203B5,640,9,412000,0,6.46302945692067,2.302585092994046,12.928781055513184
86,1120064500204B4,640,44,379740,2,6.46302945692067,3.8066624897703196,12.847244720374674
87,1120064500204B5,640,18,1011200,2,6.46302945692067,2.9444389791664403,13.826649291298292
88,1120064500205B3,640,48,388900,2,6.46302945692067,3.8918202981106265,12.871080091495637
89,1120064500206B1,640,2,850000,0,6.46302945692067,1.0986122886681098,13.652992804936396
90,1120064500206B3,640,99,1575960,1,6.46302945692067,4.605170185988092,14.270375802900876
91,1120064500207B5,640,37,830420,2,6.46302945692067,3.6375861597263857,13.629688080091341
92,1121575000102B1,640,1,150000,0,6.46302945692067,0.6931471805599453,11.918397239722838
93,1121575000103B3,640,42,565040,2,6.46302945692067,3.7612001156935624,13.244653573867447
94,1121575000103B8,640,1,40000,3,6.46302945692067,0.6931471805599453,10.596659732783579
95,1121575000104B1,640,1,38000,3,6.46302945692067,0.6931471805599453,10.545367754151743
96,1121575000104B3,640,34,1184700,2,6.46302945692067,3.5553480614894135,13.985000980038047
